taxon1,taxon2,taxon3,missing,triple 12|3,triple 13|2,triple 23|1,MajorTest,MinorTest
chlmydtsm,cuclscnrs,trcrythrl,617,1041,1332,1039,1.257946393461324e-9,0.9825073262977599
chlmydtsm,cuclscnrs,ptrclsgtt,693,1151,1189,996,0.22217461576705255,0.0008846061544032993
chlmydtsm,cuclscnrs,ptgnsfsct,695,1212,1026,1096,0.008329115682586962,0.13414597945557924
antrstmsc,chlmydtsm,cuclscnrs,689,1172,1066,1102,0.07394718678032236,0.45224545901614144
atlntsrgr,chlmydtsm,cuclscnrs,968,1044,894,1123,0.04689883639252565,0.0007088301726040492
brhnsbstr,chlmydtsm,cuclscnrs,551,1206,973,1299,0.03300849681073859,6.539680474096053e-7
chlmydtsm,cuclscnrs,pdcpscrst,750,1165,1185,929,0.3475555954849083,2.7375859568215637e-7
cuclscnrs,ptrclsgtt,trcrythrl,659,1007,1181,1182,0.49999999999999994,0.00021537621848400078
cuclscnrs,ptgnsfsct,trcrythrl,634,1047,1204,1144,0.11168493890930548,0.04024976132125367
antrstmsc,cuclscnrs,trcrythrl,659,1028,1209,1133,0.06058884178128001,0.025250305488415604
atlntsrgr,cuclscnrs,trcrythrl,899,868,1140,1122,0.3603856832592751,1.3556876324828718e-8
brhnsbstr,cuclscnrs,trcrythrl,482,965,1303,1279,0.3254093870077841,3.6414875823266145e-11
cuclscnrs,pdcpscrst,trcrythrl,741,884,1098,1306,1.1983067549886493e-5,1.6776048254236699e-6
cuclscnrs,ptgnsfsct,ptrclsgtt,712,1128,1080,1109,0.35176406128465393,0.5495427854008783
antrstmsc,cuclscnrs,ptrclsgtt,724,1138,1070,1097,0.19875123979579382,0.5764949169664517
atlntsrgr,cuclscnrs,ptrclsgtt,990,993,984,1062,0.06679210207678664,0.8572187942850884
brhnsbstr,cuclscnrs,ptrclsgtt,571,1085,1145,1228,0.04614673137146264,0.211511261364754
cuclscnrs,pdcpscrst,ptrclsgtt,803,1003,1079,1144,0.08731907909109972,0.10021634093079235
antrstmsc,cuclscnrs,ptgnsfsct,729,1150,1005,1145,0.4667295491164479,0.002711515426222056
atlntsrgr,cuclscnrs,ptgnsfsct,953,984,1030,1062,0.2489641380050311,0.31599242280832035
brhnsbstr,cuclscnrs,ptgnsfsct,516,1177,1057,1279,0.020763352725164795,0.011795297545206572
cuclscnrs,pdcpscrst,ptgnsfsct,818,1071,1134,1006,0.09335375927097149,0.16021147523596121
antrstmsc,atlntsrgr,cuclscnrs,970,1056,1059,944,0.4826567326445598,0.013043854666490476
antrstmsc,brhnsbstr,cuclscnrs,585,1169,1227,1048,0.12211217335758226,0.010799893823166122
antrstmsc,cuclscnrs,pdcpscrst,797,1114,1133,985,0.3520786801683275,0.005196233678367637
atlntsrgr,brhnsbstr,cuclscnrs,808,1164,1032,1025,0.0025854040171679384,0.8947573766999218
atlntsrgr,cuclscnrs,pdcpscrst,1061,954,1021,993,0.27371342396432774,0.3891368715253533
brhnsbstr,cuclscnrs,pdcpscrst,688,1004,1284,1053,9.612771244911803e-7,0.2898993712583858
chlmydtsm,ptrclsgtt,trcrythrl,755,1005,1259,1010,9.37223606745731e-8,0.9289980463252899
chlmydtsm,ptgnsfsct,trcrythrl,761,887,1359,1022,2.65282032974843e-12,0.002154655892213666
antrstmsc,chlmydtsm,trcrythrl,746,970,1093,1220,0.004390792427066614,0.007216148517754085
atlntsrgr,chlmydtsm,trcrythrl,1008,841,992,1188,1.4634933931518549e-5,0.00045598339912511043
brhnsbstr,chlmydtsm,trcrythrl,616,972,1076,1365,2.6767917606881996e-9,0.02282283332963548
chlmydtsm,pdcpscrst,trcrythrl,796,973,1177,1083,0.025204687761506077,0.01620089931814016
chlmydtsm,ptgnsfsct,ptrclsgtt,838,982,1186,1023,0.00028214080659812993,0.3716945444775386
antrstmsc,chlmydtsm,ptrclsgtt,811,1148,955,1115,0.25058016835702773,0.00047176256367431114
atlntsrgr,chlmydtsm,ptrclsgtt,1090,1009,858,1072,0.08704804945174997,0.0005142309526423496
brhnsbstr,chlmydtsm,ptrclsgtt,704,1124,968,1233,0.01304498476402545,0.0006982726478026626
chlmydtsm,pdcpscrst,ptrclsgtt,869,1065,1076,1019,0.41445087120834867,0.32425985326816165
antrstmsc,chlmydtsm,ptgnsfsct,836,1221,966,1006,2.83837977122035e-6,0.3798203704795796
atlntsrgr,chlmydtsm,ptgnsfsct,1088,1052,948,941,0.010623580701786886,0.8902059128080028
brhnsbstr,chlmydtsm,ptgnsfsct,692,1249,962,1126,0.006142501230586053,0.00035857767526416127
chlmydtsm,pdcpscrst,ptgnsfsct,889,1249,984,907,1.1153490919547492e-8,0.0804879140741179
antrstmsc,atlntsrgr,chlmydtsm,1064,996,1020,949,0.30424324719759627,0.29693122550156337
antrstmsc,brhnsbstr,chlmydtsm,699,1030,1183,1117,0.08764749847823046,0.06342573460722875
antrstmsc,chlmydtsm,pdcpscrst,848,1083,977,1121,0.215314665929157,0.020676827863580865
atlntsrgr,brhnsbstr,chlmydtsm,949,1067,985,1028,0.2032109804893554,0.3492184609005062
atlntsrgr,chlmydtsm,pdcpscrst,1119,933,888,1089,0.00028180476274369386,0.3024959784282818
brhnsbstr,chlmydtsm,pdcpscrst,764,1007,1088,1170,0.04412313003872309,0.08046956697624251
ptgnsfsct,ptrclsgtt,trcrythrl,792,1042,1058,1137,0.04795931529398163,0.7434294752364048
antrstmsc,ptrclsgtt,trcrythrl,788,942,1190,1109,0.047599731078286876,0.00024513555600621
atlntsrgr,ptrclsgtt,trcrythrl,1040,834,1102,1053,0.15056907630210992,5.064662361536579e-7
brhnsbstr,ptrclsgtt,trcrythrl,654,952,1204,1219,0.3880499225346346,6.246645101012241e-8
pdcpscrst,ptrclsgtt,trcrythrl,858,990,1166,1015,0.0006566540796309301,0.5919786927631667
antrstmsc,ptgnsfsct,trcrythrl,803,889,1244,1093,0.0009552169343757658,5.028570367771639e-6
atlntsrgr,ptgnsfsct,trcrythrl,1011,923,1085,1010,0.052956193121870575,0.05042981972014288
brhnsbstr,ptgnsfsct,trcrythrl,615,918,1300,1196,0.019609875161404715,1.6092187056118964e-9
pdcpscrst,ptgnsfsct,trcrythrl,877,849,1251,1052,1.8273230536517498e-5,3.532425738080347e-6
antrstmsc,atlntsrgr,trcrythrl,1021,935,1060,1013,0.15617123411211764,0.08102768243202718
antrstmsc,brhnsbstr,trcrythrl,658,986,1240,1145,0.02711634627187392,0.0006168174611717827
antrstmsc,pdcpscrst,trcrythrl,848,906,1113,1162,0.15712268241828975,4.467051845090847e-6
atlntsrgr,brhnsbstr,trcrythrl,868,1000,1080,1081,0.5,0.08321509830647127
atlntsrgr,pdcpscrst,trcrythrl,1101,794,1014,1120,0.011503100631927339,2.5155607551639767e-7
brhnsbstr,pdcpscrst,trcrythrl,742,1049,1026,1212,0.0003268732558102957,0.6291327592306136
antrstmsc,ptgnsfsct,ptrclsgtt,861,998,1074,1096,0.326069760921395,0.09940007086799305
atlntsrgr,ptgnsfsct,ptrclsgtt,1100,977,934,1018,0.18524927513219,0.3366700031396618
brhnsbstr,ptgnsfsct,ptrclsgtt,703,979,1142,1205,0.10030625499428726,0.00043291422011038896
pdcpscrst,ptgnsfsct,ptrclsgtt,932,913,1133,1051,0.04151473497746342,0.0019848758930777048
antrstmsc,atlntsrgr,ptrclsgtt,1088,1067,975,899,0.02200276195863693,0.0831548509900166
antrstmsc,brhnsbstr,ptrclsgtt,730,1141,1128,1030,0.4005544985457016,0.03676666074033515
antrstmsc,pdcpscrst,ptrclsgtt,899,1073,968,1089,0.3735035859545786,0.021310428230111325
atlntsrgr,brhnsbstr,ptrclsgtt,970,1112,984,963,0.0027622100707182526,0.6503729224309122
atlntsrgr,pdcpscrst,ptrclsgtt,1166,928,879,1056,0.0021716453331509012,0.25881699646126327
brhnsbstr,pdcpscrst,ptrclsgtt,810,1166,909,1144,0.33108516006209543,2.3431355512153646e-7
antrstmsc,atlntsrgr,ptgnsfsct,1089,1090,888,962,0.0025207068373959947,0.08962874639784668
antrstmsc,brhnsbstr,ptgnsfsct,720,1251,1065,993,6.0011559096951894e-5,0.1175433589651734
antrstmsc,pdcpscrst,ptgnsfsct,932,1164,972,961,1.7725398781856133e-5,0.8200818404270832
atlntsrgr,brhnsbstr,ptgnsfsct,914,1160,1048,907,0.009072507213741572,0.0015373493191081953
atlntsrgr,pdcpscrst,ptgnsfsct,1171,988,963,907,0.2934487938971063,0.20340775325883043
